unique_id,case_id_fkey,latitude,longitude,death_datetime,collision_datetime,location,age,sex,deceased,collision_type,street_type,analysis_neighborhood,supervisor_district
1,140236301,37.71040921667876,-122.40422603714734,2014-03-20 11:21:00,2014-03-20 00:00:00,Bayshore Blvd near Visitation Ave,82.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Bayview Hunters Point,10.0
2,140755533,37.72547565018137,-122.39424349328118,2014-09-08 16:38:00,2014-09-08 05:10:00,3rd St at Carrol Ave,71.0,Male,Pedestrian,Pedestrian vs LRV,City Street,Bayview Hunters Point,10.0
3,151078623,37.72604939695752,-122.40623241751577,2015-12-14 10:30:00,2015-12-14 10:15:00,IFO 551 Goettingen St,63.0,Male,Bicyclist,Bicycle vs Motor Vehicle,City Street,Portola,9.0
4,140365546,37.74825532935969,-122.41366884444469,2014-05-03 17:20:00,2014-05-03 02:24:00,Folsom St and Caesar Chavez,26.0,Male,Driver,Motor Vehicle Collision,City Street,Mission,9.0
6,151090279,37.74916998802018,-122.4181475404027,2015-12-18 06:50:00,2015-12-18 02:20:00,Mission St at 26th St,28.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Mission,9.0
7,150507164,37.72301059405224,-122.43606510848632,2015-07-05 15:00:00,2015-06-11 14:56:00,Persia Ave and Mission Street,89.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Outer Mission,11.0
8,151016065,37.73382859192579,-122.4313279157498,2015-11-21 02:20:00,2015-11-22 02:20:00,San Jose Ave near Monterey Ave exit,60.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Glen Park,8.0
11,140437844,37.73393255773273,-122.43036850132192,2014-06-13 04:40:00,2014-05-25 20:56:00,1200 Block of San Jose Ave,34.0,Male,Pedestrian,Pedestrian vs LRV,City Street,Outer Mission,8.0
12,150708061,37.77619541744142,-122.41475394702942,2015-08-27 14:36:00,2015-08-14 01:35:00,9th and Mission St,60.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,South of Market,6.0
13,150189455,37.76853738675164,-122.41561378147644,2015-03-02 16:20:00,2015-03-02 12:34:00,14th St and Folsom St,66.0,Male,Bicyclist,Bicycle vs Motor Vehicle,City Street,Mission,9.0
14,140232854,37.76949595143363,-122.41559134729953,2014-03-24 00:25:00,2014-03-19 00:00:00,Cross of 13th St and Folsom St,55.0,Male,Bicyclist,Bicycle vs Motor Vehicle,City Street,Mission,9.0
15,150451420,37.77506172060385,-122.4156444672336,2015-06-02 16:09:00,2015-05-23 23:36:00,10th Street at Mission St,51.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,South of Market,6.0
16,150562049,37.77729985620261,-122.4196935656792,2015-06-30 06:00:00,2015-06-28 03:52:00,Van Ness Ave and Hayes St,52.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Tenderloin,5.0
17,140104811,37.77825101707722,-122.4198832305784,2014-02-06 10:20:00,2014-02-05 02:26:00,Van Ness Ave and Grove St,53.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Hayes Valley,5.0
18,140019652,37.777962542887394,-122.41990283971673,2014-01-07 18:30:00,2014-01-04 18:20:00,IFO 240 Van Ness Ave,38.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Hayes Valley,5.0
19,140897094,37.779447983157446,-122.41842794961616,2014-10-23 12:46:00,2014-10-23 11:30:00,Polk St and McAllister St,68.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Tenderloin,5.0
20,150029839,37.78007469595044,-122.4202471839141,2015-01-10 17:24:00,2015-01-10 22:23:00,Van Ness Ave and McAllister St,30.0,Male,Motorcyclist,Motorcycle Collision,City Street,Hayes Valley,5.0
21,140286992,37.78110030160717,-122.42040137867862,2014-04-06 23:11:00,2014-04-06 23:04:00,IFO 600 Van Ness Ave,72.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Tenderloin,5.0
22,140893967,37.784213171689984,-122.39210812432616,2014-10-23 14:05:00,2014-10-22 15:16:00,IFO 301 Bryant St,27.0,Male,Bicyclist,Bicycle Collision,City Street,Financial District/South Beach,6.0
23,141027204,37.785791098749456,-122.39638989247884,2014-12-29 00:20:00,2014-12-06 00:00:00,Folsom St and 2nd St,59.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Financial District/South Beach,6.0
24,150314969,37.79264287945664,-122.40438665554868,2015-04-10 22:40:00,2015-04-10 22:40:00,California St and Kearny,42.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Financial District/South Beach,3.0
25,150513246,37.709543368800965,-122.45049893027048,2015-07-03 21:08:00,2015-06-12 12:25:00,Mission St and Oliver St,80.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Outer Mission,11.0
26,150412240,37.7161689642948,-122.4503783547998,2015-05-12 08:49:00,2015-05-12 08:25:00,San Jose and Lakeview Avenue,12.0,Male,Pedestrian,Pedestrian vs LRV,City Street,Oceanview/Merced/Ingleside,11.0
27,150492612,37.718279389170895,-122.42583481727074,2015-06-05 21:15:00,2015-06-05 21:01:00,Persia Ave East of Sunnydale Ave,23.0,Male,Bicyclist,Bicycle vs Motor Vehicle,City Street,McLaren Park,11.0
29,140723552,37.73880995393555,-122.39500052747088,2014-08-28 09:21:00,2014-08-28 09:04:00,Quint St and Newcomb Ave,52.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Bayview Hunters Point,10.0
30,140468877,37.74524939410863,-122.40287641223668,2014-06-05 16:50:00,2014-06-05 14:30:00,IFO 128 Barnveld Ave,30.0,Male,Driver,Motor Vehicle Collision,City Street,Bayview Hunters Point,10.0
31,150871436,37.78007426773405,-122.39431960272452,2015-10-12 21:09:00,2015-10-05 09:55:00,3rd Street and Brannan Sreet,72.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,South of Market,6.0
35,150529845,37.79447425537868,-122.40480060929728,2015-06-17 19:06:00,2015-06-17 18:00:00,Kearney at Clay St,77.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Chinatown,3.0
36,140886401,37.73539764755381,-122.50142062100608,2014-10-20 07:20:00,2014-10-20 06:57:00,Sloat Blvd and 43rd St,87.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Lakeshore,7.0
37,150597717,37.746091950482736,-122.5027758403733,2015-07-13 20:35:00,2015-07-09 15:33:00,44th Ave and North of Rivera St,70.0,Male,Driver,Motor Vehicle Collision,City Street,Sunset/Parkside,4.0
38,150623613,37.76484219439256,-122.41745397410034,2015-07-23 21:25:00,2015-07-17 21:25:00,520 South Van Ness Ave,51.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Mission,9.0
39,150670181,37.7660999644903,-122.41757638185966,2015-08-02 07:18:00,2015-08-02 00:23:00,South Van Ness Avenue at 16th St,34.0,Male,Motorcyclist,Moped vs Motor Vehicle,City Street,Mission,9.0
40,140931200,37.76551566304662,-122.41971369766406,2014-11-03 13:15:00,2014-11-03 13:49:00,1984 Mission St,64.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Mission,9.0
41,140936056,37.78337453386616,-122.4095095608914,2014-11-05 00:01:00,2014-11-04 23:50:00,IFO 34 Turk St,35.0,Male,Exterior Passenger,Motor Vehicle Collision,City Street,Tenderloin,5.0
42,140627863,37.78766359878773,-122.41335396337804,2014-08-16 16:05:00,2014-07-28 22:18:00,Post St and Jones St,29.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Tenderloin,3.0
45,140930092,37.78331088989271,-122.4175287731682,2014-11-03 09:46:00,2014-11-03 00:47:00,Larkin St and Eddy St,54.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Tenderloin,5.0
46,150959361,37.787264103317256,-122.41664251440676,2015-11-06 10:47:00,2015-11-03 05:39:00,Hyde St north of Post St,25.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Nob Hill,3.0
47,140564970,37.787548139743535,-122.42175810440789,2014-07-08 06:13:00,2014-07-08 01:49:00,Van Ness Ave and Sutter St,51.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Nob Hill,3.0
48,150813165,37.79026502459316,-122.41556123927056,2015-09-16 17:22:00,2015-09-16 13:04:00,Leavenworth St and Pine St,76.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Nob Hill,3.0
49,150963083,37.78744082553476,-122.43016838182947,2015-11-13 21:00:00,2015-11-04 10:04:00,Bush and Buchanan St,83.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Pacific Heights,5.0
50,140125356,37.79556258931523,-122.4234829338114,2014-02-12 01:00:00,2014-02-12 00:54:00,2000 Block of Van Ness Ave,35.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Pacific Heights,2.0
51,140437941,37.79514681019708,-122.43004013432538,2014-06-04 06:40:00,2014-05-25 00:00:00,Broadway St and Laguna St,51.0,Male,Bicyclist,Bicycle vs Motor Vehicle,City Street,Pacific Heights,2.0
52,140151442,37.78890628406117,-122.43383965446183,2014-02-20 17:50:00,2014-02-20 15:10:00,California St and Fillmore St,90.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Pacific Heights,2.0
54,140939527,37.80130371976443,-122.42453832553356,2014-11-06 00:00:00,2014-11-06 06:10:00,Lombard St and Van Ness Ave,51.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Marina,3.0
55,150777339,37.80435492477829,-122.42346605329128,2015-09-05 00:20:00,2015-09-04 16:27:00,Bay St and Polk St,49.0,Female,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Russian Hill,2.0
56,140049251,37.78594064278079,-122.44193933810683,2014-01-19 10:54:00,2014-01-17 00:00:00,Broderick St and Bush St,61.0,Male,Motorcyclist,Motorcycle vs Motor Vehicle,City Street,Pacific Heights,2.0
58,150220770,37.76560533506768,-122.47266102845582,2015-03-12 09:50:00,2015-03-12 09:39:00,1341 Lincoln Way,26.0,Male,Motorcyclist,Motorcycle Collision,City Street,Inner Sunset,7.0
59,150990666,37.75455161790163,-122.4818694808546,2015-11-13 19:35:00,2015-11-13 18:50:00,IFO 1747 24th Ave,67.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Sunset/Parkside,4.0
60,150217761,37.78003795345403,-122.48580757633049,2015-03-11 15:55:00,2015-03-11 10:47:00,26th Ave and Geary Blvd,87.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Outer Richmond,1.0
62,150343695,37.749486078759865,-122.49978542416297,2015-04-20 21:58:00,2015-04-20 06:20:00,41st Avenue at Pacheco St,88.0,Male,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Sunset/Parkside,4.0
63,150630721,37.77408629060769,-122.49290596967808,2015-07-20 14:18:00,2015-07-20 13:19:00,Cabrillo St and 33rd Ave,61.0,Female,Pedestrian,Pedestrian vs Motor Vehicle,City Street,Outer Richmond,1.0
64,140145241,37.768963382757136,-122.4978106713412,2014-02-18 19:17:00,2014-02-18 17:14:00,John F Kennedy Drive and Spreckels Lake Dr,53.0,Male,Motorcyclist,Motorcycle Collision,City Street,Golden Gate Park,1.0
65,150890602,37.79060514767108,-122.39975632722862,2015-10-11 15:32:00,2015-11-11 15:20:00,IFO 532 Market Street,47.0,Male,Bicyclist,Bicycle vs MUNI,City Street,Financial District/South Beach,3.0
