,missing_count,missing_pct,dtype,n_unique
death_time,36,10.027855153203342,str,287
death_time_hour,36,10.027855153203342,float64,24
collision_time,25,6.963788300835655,str,288
collision_time_hour,25,6.963788300835655,float64,24
case_id_fkey,7,1.9498607242339834,str,343
age,1,0.2785515320334262,float64,81
analysis_neighborhood,1,0.2785515320334262,str,36
supervisor_district,1,0.2785515320334262,float64,11
data_as_of,1,0.2785515320334262,datetime64[us],21
unique_id,0,0.0,int64,359
latitude,0,0.0,float64,338
longitude,0,0.0,float64,337
collision_year,0,0.0,int64,13
death_date,0,0.0,datetime64[us],329
death_datetime,0,0.0,datetime64[us],352
collision_date,0,0.0,datetime64[us],331
collision_datetime,0,0.0,datetime64[us],348
location,0,0.0,str,345
sex,0,0.0,str,2
deceased,0,0.0,str,8
collision_type,0,0.0,str,25
street_type,0,0.0,str,1
on_vz_hin_2017,0,0.0,bool,2
in_coc_2018,0,0.0,bool,2
publish,0,0.0,bool,1
on_vz_hin_2022,0,0.0,bool,2
in_epa_2021,0,0.0,bool,2
point,0,0.0,str,338
police_district,0,0.0,str,10
data_loaded_at,0,0.0,datetime64[us],1
collision_year_parsed,0,0.0,int32,13
collision_month,0,0.0,int32,12
collision_month_name,0,0.0,str,12
collision_dayofweek,0,0.0,str,7
collision_hour,0,0.0,int32,24
days_collision_to_death,0,0.0,int64,29
