,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
unique_id,64694.0,45232.49995362785,39637.77708691192,1.0,672.9300000000001,3378.65,16888.25,33683.5,53842.75,130254.35,132842.07,133731.0
cnn_intrsctn_fkey,64657.0,25858798.258502558,4956300.54990301,20006000.0,20219000.0,20737000.0,23855000.0,24932000.0,26690000.0,33430000.0,52247440.0,54372000.0
cnn_sgmt_fkey,28914.0,6982166.367953241,4078698.2525396785,100000.0,184014.0,374001.0,3452000.0,7298000.0,10172000.0,13060000.0,13774739.999999998,19999101.0
accident_year,64694.0,2014.9948063189786,6.050971736867508,2005.0,2005.0,2005.0,2010.0,2015.0,2020.0,2025.0,2025.0,2026.0
distance,64615.0,45.98951110423276,96.36352845499688,0.0,0.0,0.0,0.0,0.0,50.0,226.0,471.0,997.0
number_killed,64691.0,0.009800435918443061,0.1014492695853085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
number_injured,64694.0,1.2520635607629764,0.6997905125039486,0.0,0.0,1.0,1.0,1.0,1.0,3.0,4.0,19.0
party_at_fault,58297.0,1.0130881520489905,0.12473477694905596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0
supervisor_district,64432.0,6.087316861186988,2.9097135883651615,1.0,1.0,1.0,4.0,6.0,9.0,11.0,11.0,11.0
latitude,64513.0,37.76577610426894,0.024448979353944602,37.70437813763,37.71047855372,37.718448618261995,37.74879867563,37.77252442719,37.78382411807,37.7985800539,37.8060405054012,37.8299907555
longitude,64513.0,-122.4246644884948,0.96454100981753,-122.51372090722,-122.50360858571,-122.485228935,-122.442553662,-122.42127172867,-122.40822672559,-122.392347730692,-122.38585273984,122.4540096
collision_hour_from_time,64632.0,13.494940586706276,5.720945898768344,0.0,0.0,2.0,9.0,14.0,18.0,22.0,23.0,23.0
collision_year_parsed,64694.0,2014.9948836058986,6.051085479949539,2005.0,2005.0,2005.0,2010.0,2015.0,2020.0,2025.0,2025.0,2026.0
collision_month_num,64694.0,6.571660432188456,3.4562822837315985,1.0,1.0,1.0,4.0,7.0,10.0,12.0,12.0,12.0
collision_hour,64694.0,13.482007605032925,5.733430076217624,0.0,0.0,2.0,9.0,14.0,18.0,22.0,23.0,23.0
