cnn_key,intersection_rows,intersection_measure_types,intersection_n_measure_types,intersection_units_total,intersection_first_install_dt,intersection_last_install_dt,intersection_complete_rows,intersection_has_complete,intersection_statuses,intersection_neighborhoods,has_known_install_date
20011000,1,['Painted Traffic Circle'],1,1.0,,,1,True,['Complete'],[],False
20046000,1,['Choker'],1,1.0,2008-06-01,2008-06-01,1,True,['Complete'],['Hunters Point'],True
20060000,1,['Channelization'],1,1.0,,,1,True,['Complete'],['Hunters Point'],False
20193000,1,['Raised Crosswalk'],1,1.0,2017-10-01,2017-10-01,1,True,['Complete'],['Bayview'],True
20196000,1,['Traffic Circle'],1,1.0,2006-05-01,2006-05-01,1,True,['Complete'],['Bayview'],True
20197000,1,['Speed Table'],1,1.0,2024-09-01,2024-09-01,1,True,['Complete'],['Bayview'],True
20198000,1,['Traffic Circle'],1,1.0,2006-06-01,2006-06-01,1,True,['Complete'],['Bayview'],True
20200000,1,['Traffic Circle'],1,1.0,2006-05-01,2006-05-01,1,True,['Complete'],['Bayview'],True
20201000,1,['Raised Crosswalk'],1,1.0,2017-10-01,2017-10-01,1,True,['Complete'],['Bayview'],True
20208000,1,['Speed Table'],1,1.0,2024-07-01,2024-07-01,1,True,['Complete'],['Bayview'],True
20347000,1,['Speed Table'],1,2.0,,,0,False,['Pending Construction'],['Visitacion Valley'],False
20355000,1,['Speed Table'],1,2.0,,,0,False,['Pending construction'],['Visitacion Valley'],False
20363000,1,['Speed Table'],1,2.0,,,0,False,['Pending construction'],['Visitacion Valley'],False
20423000,1,['Traffic Island'],1,1.0,,,1,True,['Complete'],['Sunnydale'],False
20431000,1,['Speed Radar Sign'],1,1.0,,,1,True,['Complete'],['Sunnydale'],False
20448000,1,['Traffic Island'],1,2.0,2007-03-01,2007-03-01,1,True,['Complete'],['Bret Harte'],True
20510000,1,['Traffic Island'],1,1.0,2014-01-01,2014-01-01,1,True,['Complete'],[],True
20612000,1,['Traffic Island'],1,1.0,2014-01-01,2014-01-01,1,True,['Complete'],[],True
20653000,1,['Raised Crosswalk'],1,1.0,2021-03-01,2021-03-01,1,True,['Complete'],['Portola'],True
20661000,1,['Raised Crosswalk'],1,2.0,2024-06-01,2024-06-01,1,True,['Complete'],['Bayview'],True
20666000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Bayview'],False
20674000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Bayview'],False
20681000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Silver Terrace'],False
20739000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Silver Terrace'],False
20764000,1,['Raised Crosswalk'],1,1.0,,,0,False,['Pending design review and approval'],['Silver Terrace'],False
20999000,1,['Raised Crosswalk'],1,1.0,2022-03-01,2022-03-01,1,True,['Complete'],[],True
21120000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Mission'],False
21125000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],[],False
21131000,1,['Chicane'],1,1.0,2006-12-01,2006-12-01,1,True,['Complete'],[],True
21140000,1,['Traffic Island'],1,1.0,2006-12-01,2006-12-01,1,True,['Complete'],['Bernal Heights'],True
21150000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Bernal Heights'],False
21164000,1,['Chicane'],1,1.0,2006-12-01,2006-12-01,1,True,['Complete'],[],True
21230000,1,['Raised Crosswalk'],1,1.0,2023-04-01,2023-04-01,0,False,['Pending Construction'],[],True
21253000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Bernal Heights'],False
21259000,1,['Channelization'],1,1.0,,,1,True,['Complete'],['Holly Park'],False
21319000,1,['Traffic Island'],1,1.0,2006-03-01,2006-03-01,1,True,['Complete'],['Bernal Heights'],True
21371000,1,['Raised Crosswalk'],1,1.0,2024-02-01,2024-02-01,1,True,['Complete'],[],True
21385000,1,['Raised Crosswalk'],1,2.0,2024-05-01,2024-05-01,1,True,['Complete'],[],True
21473000,1,['Raised Crosswalk'],1,1.0,2022-10-01,2022-10-01,1,True,['Complete'],[],True
21516000,1,['Raised Crosswalk'],1,1.0,2024-02-01,2024-02-01,1,True,['Complete'],[],True
21632000,1,['Raised Crosswalk'],1,1.0,2024-06-01,2024-06-01,1,True,['Complete'],[],True
21640000,1,['Traffic Circle'],1,1.0,1975-05-01,1975-05-01,1,True,['Complete'],[],True
21675000,1,['Traffic Circle'],1,1.0,2006-03-01,2006-03-01,1,True,['Complete'],"[""St. Mary's Park""]",True
21719000,1,['Raised Crosswalk'],1,1.0,2024-06-01,2024-06-01,1,True,['Complete'],[],True
21812000,1,['Median Extension'],1,0.0,,,1,True,['Complete'],[],False
21818000,1,['Traffic Circle'],1,1.0,2004-03-01,2004-03-01,1,True,['Complete'],"[""St. Mary's Park""]",True
21820000,1,['Channelization'],1,1.0,,,1,True,['Complete'],[],False
21862000,1,['Speed Hump'],1,1.0,2021-11-01,2021-11-01,1,True,['Complete'],"[""St. Mary's Park""]",True
21865000,1,['Speed Hump'],1,1.0,2021-11-01,2021-11-01,1,True,['Complete'],"[""St. Mary's Park""]",True
21962000,1,['Ped Refuge Island'],1,1.0,,,1,True,['Complete'],['Fairmount'],False
21965000,1,['Traffic Island'],1,0.0,,,1,True,['Complete'],['Sunnyside'],False
21983000,1,['Speed Hump'],1,1.0,2021-04-01,2021-04-01,1,True,['Complete'],['Glen Park'],True
22059000,1,['Raised Crosswalk'],1,1.0,2024-06-01,2024-06-01,0,False,['Pending Construction'],[],True
22076000,1,['Raised Crosswalk'],1,1.0,2024-06-01,2024-06-01,1,True,['Complete'],[],True
22132000,1,['Traffic Circle'],1,1.0,2016-07-01,2016-07-01,1,True,['Complete'],['Sunnyside'],True
22133000,1,['Traffic Island'],1,1.0,2007-11-01,2007-11-01,1,True,['Complete'],[],True
22152000,1,['Traffic Island'],1,3.0,2014-12-01,2014-12-01,1,True,['Complete'],[],True
22249000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Westwood Park'],False
22285000,1,['Traffic Island'],1,1.0,2007-11-01,2007-11-01,1,True,['Complete'],[],True
22295000,1,['Traffic Island'],1,0.0,,,1,True,['Complete'],['Miraloma Park'],False
22300000,1,['Channelization'],1,1.0,2009-10-01,2009-10-01,1,True,['Complete'],['Miraloma Park'],True
22316000,1,['Raised Crosswalk'],1,1.0,,,0,False,['Pending Construction'],[],False
22364000,1,['Traffic Island'],1,0.0,,,1,True,['Complete'],['Miraloma Park'],False
22410000,1,['Traffic Island'],1,1.0,2008-11-01,2008-11-01,1,True,['Complete'],['Miraloma Park'],True
22419000,1,['Traffic Island'],1,0.0,,,1,True,['Complete'],['Miraloma Park'],False
22623000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],['Westwood Park'],False
22704000,1,['Traffic Circle'],1,1.0,1995-07-01,1995-07-01,1,True,['Complete'],['Ingleside Terraces'],True
22705000,1,['Traffic Circle'],1,1.0,2000-07-01,2000-07-01,1,True,['Complete'],['Ingleside Terraces'],True
22721000,1,['Raised Crosswalk'],1,1.0,2001-01-24,2001-01-24,1,True,['Complete'],[],True
22723000,1,['Raised Crosswalk'],1,1.0,2024-11-01,2024-11-01,1,True,['Complete'],[],True
22747000,1,['Traffic Circle'],1,1.0,2000-07-01,2000-07-01,1,True,['Complete'],['Ingleside Terraces'],True
22782000,1,['Traffic Island'],1,1.0,2014-01-01,2014-01-01,1,True,['Complete'],['Ingleside Terraces'],True
22805000,1,['Raised Crosswalk'],1,1.0,2024-03-01,2024-03-01,1,True,['Complete'],['Westwood Highlands'],True
22882000,1,['Traffic Circle'],1,1.0,1957-01-01,1957-01-01,1,True,['Complete'],[],True
22916000,1,['Traffic Island'],1,0.0,,,1,True,['Complete'],['St. Francis Wood'],False
22931000,1,['Traffic Circle'],1,1.0,,,1,True,['Complete'],['St. Francis Wood'],False
22943000,1,['Traffic Island'],1,0.0,,,1,True,['Complete'],[],False
22945000,1,['Speed Hump'],1,1.0,2008-10-01,2008-10-01,1,True,['Complete'],['West Portal'],True
22948000,1,['Speed Radar Sign'],1,2.0,2016-07-01,2016-07-01,1,True,['Complete'],['West Portal'],True
22949000,1,['Speed Hump'],1,0.0,2010-01-01,2010-01-01,1,True,['Complete'],['West Portal'],True
23003000,1,['Traffic Island'],1,2.0,2017-05-01,2017-05-01,1,True,['Complete'],['Golden Gate Heights'],True
23049000,1,['Traffic Circle'],1,1.0,,,1,True,['Complete'],['Parkmerced'],False
23095000,1,['Traffic Circle'],1,1.0,,,1,True,['Complete'],['Parkmerced'],False
23124000,1,['Raised Crosswalk'],1,1.0,2021-03-01,2021-03-01,1,True,['Complete'],[],True
23141000,1,['Raised Crosswalk'],1,1.0,,,1,True,['Complete'],[],False
23171000,1,['Traffic Circle'],1,1.0,2020-01-01,2020-01-01,1,True,['Complete'],['Parkside'],True
23281000,1,['Traffic Circle'],1,1.0,2014-06-01,2014-06-01,1,True,['Complete'],['Parkside'],True
23342000,1,['Traffic Island'],1,0.0,,,1,True,['Complete'],['Parkside'],False
23505000,1,['Speed Table'],1,1.0,2021-01-01,2021-01-01,1,True,['Complete'],['Outer Sunset'],True
23627000,1,['Raised Crosswalk'],1,1.0,2022-04-01,2022-04-01,1,True,['Complete'],[],True
23674000,1,['Traffic Island'],1,1.0,2017-06-01,2017-06-01,1,True,['Complete'],['Potrero Hill'],True
