cnn_key,midblock_rows,midblock_measure_types,midblock_n_measure_types,midblock_units_total,midblock_first_install_dt,midblock_last_install_dt,midblock_complete_rows,midblock_has_complete,midblock_statuses,midblock_neighborhoods,latest_pci_score,latest_pci_change_dt,latest_functional_class,has_latest_pci,midblock_age_days_as_of_latest_pci
116000,1,[],0,,,,0,False,['Pending data collection and evaluation'],['South Beach'],,,,False,
119000,1,['3-Lump Speed Cushion'],1,2.0,2022-10-01,2022-10-01,1,True,['Complete'],['Presidio Terrace'],73.0,2025-07-25 08:20:21,Residential,True,1028.0
121000,1,[],0,,,,0,False,['Pending data collection and evaluation'],['Inner Richmond'],77.0,2025-07-25 08:20:21,Residential,True,
123000,1,['Speed Hump'],1,2.0,2022-01-01,2022-01-01,1,True,['Complete'],['Inner Richmond'],95.0,2024-10-17 11:54:35,Residential,True,1020.0
125000,1,['Speed Hump'],1,2.0,2022-01-01,2022-01-01,1,True,['Complete'],['Inner Richmond'],75.0,2025-07-25 08:20:21,Residential,True,1301.0
151000,1,[],0,,,,0,False,['Pending data collection and evaluation'],['Presidio Terrace'],63.0,2025-07-25 08:20:22,Residential,True,
155000,1,['Speed Cushion'],1,,,,0,False,['Pending design review and approval'],['Inner Richmond'],76.0,2025-07-25 08:20:22,Residential,True,
156000,1,['Speed Hump'],1,2.0,2015-06-01,2015-06-01,1,True,['Complete'],['Inner Richmond'],95.0,2024-10-17 11:54:35,Residential,True,3426.0
158000,1,['3-Lump Speed Cushion'],1,2.0,2023-07-01,2023-07-01,1,True,['Complete'],['Inner Richmond'],80.0,2025-07-25 08:20:22,Residential,True,755.0
244000,1,['3-Lump Speed Cushion'],1,2.0,2021-03-01,2021-03-01,1,True,['Complete'],['Inner Richmond'],77.0,2025-07-25 08:20:24,Residential,True,1607.0
245000,1,['3-Lump Speed Cushion'],1,2.0,2021-03-01,2021-03-01,1,True,['Complete'],['Inner Richmond'],73.0,2025-07-25 08:20:24,Residential,True,1607.0
275000,1,['Speed Hump'],1,1.0,2016-08-01,2016-08-01,1,True,['Complete'],['Presidio Terrace'],73.0,2025-07-25 08:20:24,Residential,True,3280.0
281000,1,[],0,,,,0,False,['Pending design review and approval'],['Inner Richmond'],75.0,2025-07-25 08:20:24,Residential,True,
282000,1,[],0,,,,0,False,['Pending design review and approval'],['Inner Richmond'],73.0,2025-07-25 08:20:24,Residential,True,
313000,1,['Speed Hump'],1,2.0,2021-06-01,2021-06-01,1,True,['Complete'],['Presidio Terrace'],90.0,2025-09-23 08:20:26,Residential,True,1575.0
314000,1,['5-Lump Speed Cushion'],1,2.0,2024-06-01,2024-06-01,1,True,['Complete'],['Inner Richmond'],100.0,2024-01-22 13:34:28,Residential,True,-131.0
323000,1,['Speed Hump'],1,1.0,2007-06-01,2007-06-01,1,True,['Complete'],['Inner Sunset'],100.0,2025-01-31 11:16:38,Arterial,True,6454.0
324000,1,['Speed Hump'],1,1.0,2007-06-01,2007-06-01,1,True,['Complete'],['Inner Sunset'],59.0,2025-09-05 09:10:34,Arterial,True,6671.0
349000,1,['Speed Hump'],1,1.0,2020-01-01,2020-01-01,1,True,['Complete'],['Presidio Terrace'],83.0,2025-07-25 08:20:28,Residential,True,2032.0
350000,1,['Speed Hump'],1,2.0,2021-08-01,2021-08-01,1,True,['Complete'],['Presidio Terrace'],73.0,2025-07-25 08:20:28,Residential,True,1454.0
351000,1,['Speed Hump'],1,2.0,2020-01-01,2020-01-01,1,True,['Complete'],['Inner Richmond'],80.0,2025-07-25 08:20:28,Residential,True,2032.0
353000,1,['Speed Hump'],1,2.0,2019-09-01,2019-09-01,1,True,['Complete'],['Inner Richmond'],79.0,2024-06-03 10:47:24,Residential,True,1737.0
355000,1,['Speed Hump'],1,2.0,2020-01-01,2020-01-01,1,True,['Complete'],['Inner Richmond'],77.0,2025-07-25 08:20:28,Residential,True,2032.0
387000,1,['Speed Hump'],1,2.0,2020-02-01,2020-02-01,1,True,['Complete'],['Lake'],80.0,2025-07-25 08:20:29,Residential,True,2001.0
388000,1,['5-Lump Speed Cushion'],1,2.0,2020-02-01,2020-02-01,1,True,['Complete'],['Inner Richmond'],61.0,2025-07-25 08:20:29,Residential,True,2001.0
389000,1,['3-Lump Speed Cushion'],1,2.0,2023-02-01,2023-02-01,1,True,['Complete'],['Inner Richmond'],75.0,2025-07-25 08:20:29,Residential,True,905.0
390000,1,['Speed Hump'],1,2.0,2020-02-01,2020-02-01,1,True,['Complete'],['Inner Richmond'],95.0,2024-10-17 11:54:37,Residential,True,1720.0
391000,1,['Speed Hump'],1,2.0,2020-02-01,2020-02-01,1,True,['Complete'],['Inner Richmond'],78.0,2025-07-25 08:20:29,Residential,True,2001.0
392000,1,['Speed Hump'],1,2.0,2020-02-01,2020-02-01,1,True,['Complete'],['Inner Richmond'],79.0,2025-07-25 08:20:29,Residential,True,2001.0
393000,1,['5-Lump Speed Cushion'],1,2.0,2020-01-01,2020-01-01,1,True,['Complete'],['Inner Richmond'],100.0,2025-10-03 15:08:17,Residential,True,2102.0
395000,1,['Speed Hump'],1,2.0,2016-05-01,2016-05-01,1,True,['Complete'],['Inner Sunset'],100.0,2025-07-23 14:44:00,Residential,True,3370.0
398000,1,['3-Lump Speed Cushion'],1,2.0,2019-09-01,2019-09-01,1,True,['Complete'],['Inner Sunset'],67.0,2025-09-02 09:10:35,Residential,True,2193.0
399000,1,['3-Lump Speed Cushion'],1,2.0,2017-12-01,2017-12-01,1,True,['Complete'],['Golden Gate Heights'],36.0,2025-09-02 09:10:35,Residential,True,2832.0
400000,1,['Speed Hump'],1,2.0,2014-01-01,2014-01-01,1,True,['Complete'],['Inner Sunset'],79.0,2025-09-02 09:10:35,Residential,True,4262.0
424000,1,['Speed Hump'],1,2.0,2020-01-01,2020-01-01,1,True,['Complete'],['Inner Richmond'],82.0,2025-07-25 08:20:30,Residential,True,2032.0
426000,1,['Speed Hump'],1,2.0,2020-01-01,2020-01-01,1,True,['Complete'],['Inner Richmond'],85.0,2025-07-25 08:20:30,Residential,True,2032.0
427000,1,[],0,,,,0,False,['Pending data collection and evaluation'],['Inner Richmond'],81.0,2025-07-25 08:20:30,Residential,True,
428000,1,[],0,,,,0,False,['Pending design review and approval'],['Inner Richmond'],89.0,2025-07-25 08:20:30,Residential,True,
429000,1,[],0,,,,0,False,['Pending design review and approval'],['Inner Richmond'],83.0,2025-07-25 08:20:30,Residential,True,
433000,1,['5-Lump Speed Cushion'],1,2.0,2023-08-01,2023-08-01,1,True,['Complete'],['Inner Sunset'],60.0,2025-09-02 09:10:35,Collector,True,763.0
436000,1,['5-Lump Speed Cushion'],1,2.0,,,1,True,['Complete'],['Inner Sunset'],41.0,2025-09-05 09:10:36,Collector,True,
438000,1,['Speed Hump'],1,2.0,2014-01-01,2014-01-01,1,True,['Complete'],['Golden Gate Heights'],86.0,2025-09-05 09:10:36,Collector,True,4265.0
462000,1,[],0,,,,0,False,['Pending data collection and evaluation'],['Inner Richmond'],95.0,2024-10-23 11:54:38,Residential,True,
464000,1,['Speed Hump'],1,2.0,2017-12-01,2017-12-01,1,True,['Complete'],['Inner Richmond'],81.0,2025-07-25 08:20:31,Residential,True,2793.0
468000,1,['3-Lump Speed Cushion'],1,2.0,2023-07-01,2023-07-01,1,True,['Complete'],['Inner Richmond'],83.0,2025-07-25 08:20:31,Residential,True,755.0
470000,1,['Speed Hump'],1,2.0,2016-05-01,2016-05-01,1,True,['Complete'],['Inner Sunset'],86.0,2025-09-02 09:10:36,Residential,True,3411.0
471000,1,['Speed Hump'],1,2.0,2022-03-01,2022-03-01,1,True,['Complete'],['Inner Sunset'],81.0,2025-09-02 09:10:36,Residential,True,1281.0
472000,1,['Speed Hump'],1,2.0,2022-02-01,2022-02-01,1,True,['Complete'],['Inner Sunset'],81.0,2025-09-02 09:10:36,Residential,True,1309.0
473000,1,['Speed Hump'],1,2.0,2021-02-01,2021-02-01,1,True,['Complete'],['Inner Sunset'],88.0,2025-09-02 09:10:36,Residential,True,1674.0
474000,1,['Speed Hump'],1,2.0,2022-02-01,2022-02-01,1,True,['Complete'],['Golden Gate Heights'],86.0,2025-09-02 09:10:36,Residential,True,1309.0
