"row_id","objectid","cnn","streetname","project_lo","from_st","tc_measure","units","install_mo","install_yr","install_date","fiscal_yr","program","current_status","supervisor_district","analysis_neighborhood","shape","data_as_of","data_loaded_at"
"1","17790","22931000","SANTA ANA AVE","Santa Ana Avenue and Saint Francis Boulevard","SAINT FRANCIS BLVD","Traffic Circle","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","7","St. Francis Wood","POINT (-122.467963318 37.734865689)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"2","17960","22916000","SANTA CLARA AVE","Santa Clara Avenue and Santa Monica Way \ Yerba Buena Avenue","SANTA MONICA WAY \ YERBA BUENA AVE","Traffic Island","0","0","0","1900 Jan 01 12:00:00 AM","FY 2011-2012","TC Implementation","Complete","7","St. Francis Wood","POINT (-122.465844911 37.73849364)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"3","16640","24366000","CAPP ST","Capp Street and Adair Street","ADAIR ST","Raised Crosswalk","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","9","Mission","POINT (-122.418633618 37.765686233)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"4","16642","24368000","NATOMA ST","Natoma Street and 14th Street","14TH ST","Raised Crosswalk","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","9","Mission","POINT (-122.418555933 37.768359751)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"5","16644","24370000","MINNA ST","Minna Street and 14th Street","14TH ST","Raised Crosswalk","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","9","Mission","POINT (-122.419224932 37.768319349)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"6","16783","24093000","ORANGE Alley","Orange Alley and 24th Street","24TH ST","Raised Crosswalk","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","9","Mission","POINT (-122.42008415 37.752139178)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"7","16798","24112000","22nd ST","22nd Street and Bartlett Street","BARTLETT ST","Raised Crosswalk","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","9","Mission","POINT (-122.419857943 37.75536573)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"8","16800","24114000","BARTLETT ST","Bartlett Street and 21st Street","21ST ST","Raised Crosswalk","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","9","Mission","POINT (-122.420011098 37.756968602)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"9","16813","24127000","SHOTWELL ST","Shotwell Street and 18th Street","18TH ST","Raised Crosswalk","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","9","Mission","POINT (-122.416077986 37.762034002)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"10","16821","24135000","SHOTWELL ST","Shotwell Street and 17th Street","17TH ST","Raised Crosswalk","1","0","0","1900 Jan 01 12:00:00 AM",,,"Complete","9","Mission","POINT (-122.416227271 37.763635137)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"11","16878","24000000","POTRERO AVE","Potrero Avenue and 21st Street","21ST ST","Traffic Island","1","0","0","1900 Jan 01 12:00:00 AM","FY 2004-2005","Corridor","Complete","10","Mission","POINT (-122.406799737 37.757762058)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
"12","16879","24001000","POTRERO AVE","Potrero Avenue and 20th Street","20TH ST","Traffic Island","1","0","0","1900 Jan 01 12:00:00 AM","FY 2004-2005","Corridor","Complete","10","Mission","POINT (-122.406946874 37.759365489)","2022 Nov 17 09:50:13 PM","2026 Apr 18 10:23:38 AM"
