"row_id","objectid","cnn","nhood","streetname","district","from_st","to_st","project_location","tc_measure","units","install_mo","install_yr","install_datetime","fiscal_yr","program","current_status","current_ti","next_step","next_step_2","shape","data_as_of","data_loaded_at"
"1","24264","8539000","Ingleside Terrace","LUNADO WAY","7","LUNADO CT","CERRITOS AVE \ MERCEDES WY","Lunado Way from Lunado Court to Cerritos Avenue \ Mercedes Way","Speed Hump","0","0","0","1900/01/01","FY 2013-2014",,"Obsolete","<Null>","<Null>","<Null>","LINESTRING (-122.471186243 37.725934637, -122.471132004 37.726787739)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"3","28003","5201000","Bernal Heights","ELLSWORTH ST","9","CRESCENT AVE","ALEMANY BLVD \ I-280 S OFF RAMP \ I-280 S ON RAMP","Ellsworth Street from Crescent Avenue to Alemany Boulevard \ I-280 S Off Ramp \ I-280 S On Ramp","5-Lump Speed Cushion","2","4","2021","2021/04/01","FY 2019-2020","App-Based","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.414934763 37.734793888, -122.414930374 37.734727803, -122.415044467 37.733555675, -122.415125237 37.733405376, -122.415221675 37.733309928, -122.415404561 37.733221348, -122.416026198 37.733103018, -122.416317631 37.733041745, -122.416615116 37.732899611, -122.416866327 37.732856759, -122.417244309 37.732837687, -122.417731025 37.732852949, -122.418562489 37.732905414, -122.418705729 37.732894317, -122.418858383 37.732820258, -122.418952246 37.732678506, -122.418965756 37.732208479)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"4","26889","6188000","Bret Harte","GILMAN AVE","10","GRIFFITH ST","HAWES ST","Gilman Avenue from Griffith Street to Hawes Street","<Null>","<Null>","<Null>","<Null>",,"FY 2022-2023","App-Based","Pending design review and approval","Jul - Dec 2024","Pending construction","Jan - Jul 2025","LINESTRING (-122.388136868 37.718235643, -122.390019685 37.719298466)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"5","21605","10814000","Bayview District","QUESADA AVE","10","KEITH ST","LANE ST","Quesada Avenue from Keith Street to Lane Street","Traffic Island","1","4","2008","2008/04/01","FY 2007-2008","Areawide","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.38772939 37.731231789, -122.3896006 37.732289962)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"6","19439","12829000","Bayview District","UNDERWOOD AVE","10","KEITH ST","LANE ST","Underwood Avenue from Keith Street to Lane Street","Speed Hump","1","0","0","1900/01/01",,"Areawide","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.389981317 37.728728463, -122.39185242 37.729785555)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"7","19564","12687000","Inner Mission","TREAT AVE","9","21ST ST","22ND ST","Treat Avenue from 21St Street to 22nd Street","Speed Bump","0","0","0","1900/01/01",,,"Obsolete","<Null>","<Null>","<Null>","LINESTRING (-122.413446854 37.757363463, -122.41329405 37.755765915)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"8","24162","8618000","Forest  Hill","MAGELLAN AVE","7","SOLA AVE","PACHECO ST","Magellan Avenue from Sola Avenue to Pacheco Street","Speed Hump","1","1","2018","2018/01/01",,"Dewey Area TC","Obsolete","<Null>","<Null>","<Null>","LINESTRING (-122.459972001 37.747752319, -122.460074395 37.747611729, -122.461615603 37.746402598, -122.461710036 37.746361514)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"9","24263","8538000","Ingleside Terrace","LUNADO WAY","7","ESTERO AVE","LUNADO CT","Lunado Way from Estero Avenue to Lunado Court","Speed Hump","1","12","2014","2014/12/01","FY 2013-2014","Site Specific","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.471304038 37.723720071, -122.471186243 37.725934637)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"10","24264","8539000","Ingleside Terrace","LUNADO WAY","7","LUNADO CT","CERRITOS AVE \ MERCEDES WY","Lunado Way from Lunado Court to Cerritos Avenue \ Mercedes Way","Speed Hump","0","0","0","1900/01/01","FY 2013-2014",,"Obsolete","<Null>","<Null>","<Null>","LINESTRING (-122.471186243 37.725934637, -122.471132004 37.726787739)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"12","24289","8476000","Excelsior","LONDON ST","11","ITALY AVE","FRANCE AVE","London Street from Italy Avenue to France Avenue","3-Lump Speed Cushion","2","8","2023","2023/08/01","FY 2020-2021","App-Based","Complete",,,"<Null>","LINESTRING (-122.438127841 37.718960786, -122.438771213 37.718118882)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"13","30277","3122000","Silver Terrace","BRIDGEVIEW DR","10","TAMPA LN","UNNAMED 021","Bridgeview Drive from Tampa Lane  to Unnamed 21","Speed Hump","2","0","0","1900/01/01",,,"Complete","<Null>","<Null>","<Null>","LINESTRING (-122.396169546 37.734930845, -122.396281959 37.735020265, -122.3965527 37.735344691, -122.396742063 37.735401744, -122.396935312 37.735336306, -122.397266922 37.734864189)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"14","29019","4253000","Bernal Heights","COLERIDGE ST","9","POWERS AVE","FAIR AVE","Coleridge Street from Powers Avenue to Fair Avenue","Speed Hump","1","<Null>","2017",,"FY 2015-2016","App-Based","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.418401952 37.745734804, -122.418784785 37.745150766)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"15","29415","3930000","Glen Park","CHENERY ST","8","LIPPARD AVE","CHILTON AVE","Chenery Street from Lippard Avenue to Chilton Avenue","Speed Hump","1","4","2021","2021/04/01","FY 2018-2019","App-Based","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.435550525 37.734796986, -122.435821614 37.734853411, -122.436399821 37.734909712)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"16","29918","3365000","Buena Vista Park","BUENA VISTA AVE EAST","8","BUENA VISTA AVE \ PARK HILL AVE","BUENA VISTA AVE \ UPPER TERR","Buena Vista Avenue East from Buena Vista Avenue \ Park Hill Avenue to Buena Vista Avenue \ Upper Terrace","Edgeline","1","0","2014","2014/01/01",,"TC Implementation","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.4393014 37.768165525, -122.440137464 37.767756872, -122.440604289 37.766954512, -122.441938258 37.765952845, -122.442009458 37.765907094, -122.442166611 37.765887825, -122.44236097 37.765884622, -122.442575244 37.765928284)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"17","28003","5201000","Bernal Heights South","ELLSWORTH ST","9","CRESCENT AVE","ALEMANY BLVD \ I-280 S OFF RAMP \ I-280 S ON RAMP","Ellsworth Street from Crescent Avenue to Alemany Boulevard \ I-280 S Off Ramp \ I-280 S On Ramp","Choker","1","11","2006","2006/11/01","FY 2006-2007","Site Specific","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.414934763 37.734793888, -122.414930374 37.734727803, -122.415044467 37.733555675, -122.415125237 37.733405376, -122.415221675 37.733309928, -122.415404561 37.733221348, -122.416026198 37.733103018, -122.416317631 37.733041745, -122.416615116 37.732899611, -122.416866327 37.732856759, -122.417244309 37.732837687, -122.417731025 37.732852949, -122.418562489 37.732905414, -122.418705729 37.732894317, -122.418858383 37.732820258, -122.418952246 37.732678506, -122.418965756 37.732208479)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"18","28815","4486000","Bernal Heights South","CRESCENT AVE","9","AGNON AVE","MURRAY ST","Crescent Avenue from Agnon Avenue to Murray Street","5-Lump Speed Cushion","1","1","2005","2005/01/01","FY 2004-2005","Areawide","Obsolete","<Null>","<Null>","<Null>","LINESTRING (-122.422120807 37.735152848, -122.420223758 37.735058129)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"19","30188","3123000","Silver Terrace","BRIDGEVIEW DR","10","UNNAMED 021","THORNE WY","Bridgeview Drive from Unnamed 21 to thorne Way","Speed Hump","2","0","0","1900/01/01",,,"Complete","<Null>","<Null>","<Null>","LINESTRING (-122.397266922 37.734864189, -122.397364993 37.734724564, -122.397445857 37.734524541, -122.397683604 37.73351032)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"20","30189","3124000","Silver Terrace","BRIDGEVIEW DR","10","THORNE WAY","TOPEKA AVE","Bridgeview Drive from thorne Way to Topeka Avenue","Speed Hump","2","0","0","1900/01/01",,,"Complete","<Null>","<Null>","<Null>","LINESTRING (-122.397683604 37.73351032, -122.397703547 37.733425243, -122.397689472 37.733278116)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"21","25348","7617000","Jordan Park - Laurel Heights","JORDAN AVE","2","EUCLID AVE","GEARY BLVD","Jordan Avenue from Euclid Avenue to Geary Boulevard","Speed Hump","1","0","0","1900/01/01","Pilot","Areawide Pilot","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.45681322 37.783928912, -122.456629211 37.781439142)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"23","26889","6188000","Bret Harte","GILMAN AVE","10","GRIFFITH ST","HAWES ST","Gilman Avenue from Griffith Street to Hawes Street","5-Lump Speed Cushion","1","3","2021","2021/03/01",,"Miscellaneous","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.388136868 37.718235643, -122.390019685 37.719298466)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"24","24798","8062000","Oceanview","LAKEVIEW AVE","11","CAINE AVE","MAJESTIC AVE","Lakeview Avenue from Caine Avenue to Majestic Avenue","3-Lump Speed Cushion","1","4","2022","2022/04/01","FY 2019-2020","D11 NTIP","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.451155394 37.716583221, -122.451894992 37.716977508)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"25","22279","10221000","Bayview District","PALOU AVE","10","KEITH ST","LANE ST","Palou Avenue from Keith Street to Lane Street","Speed Hump","0","0","0","1900/01/01","FY 2009-2010","TC Implementation","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.387166512 37.731857471, -122.389035068 37.732918895)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"26","22336","10191000","Jordan Park - Laurel Heights","PALM AVE","2","EUCLID AVE","GEARY BLVD","Palm Avenue from Euclid Avenue to Geary Boulevard","Speed Hump","2","6","2023","2023/06/01","FY 2022-2023","App-Based","Complete",,"<Null>","<Null>","LINESTRING (-122.457922818 37.783874311, -122.457733044 37.781314586)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
"27","22341","10196000","Merced Heights","PALMETTO AVE","7","ALEMANY BLVD","CHESTER AVE","Palmetto Avenue from Alemany Boulevard to Chester Avenue","3-Lump Speed Cushion","1","4","2022","2022/04/01","FY 2019-2020","App-Based","Complete","<Null>","<Null>","<Null>","LINESTRING (-122.46928846 37.710593439, -122.469583958 37.710666161, -122.470421704 37.710653382)","2026/05/23 10:19:56 AM","2026/05/23 10:48:09 AM"
